BUILD: [Thread:SystemTickCount:Type  ] Message
BUILD: [00:0000000000:PROGC ] Build started with parameters:
BUILD: [00:0000000000:PROGC ] Build started in directory: C:\WINCE800\platform\rrm_ppc_windows\SRC\DRIVERS\PM\MDD
BUILD: [00:0000000000:PROG  ] Environment: ALLUSERSPROFILE=C:\ProgramData
BUILD: [00:0000000000:PROG  ] Environment: APPDATA=C:\Users\gh\AppData\Roaming
BUILD: [00:0000000000:PROG  ] Environment: BSP_ALS=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_BACKLIGHT_PWM=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_BUSENUM2=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_DISPLAY_LVDS1=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_ECSPI1=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_ENET=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_I2CBUS1=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_I2CBUS2=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_I2CBUS3=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_iMX6Q=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_PP=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_TOUCH_HSD100=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_USDHC2=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_USDHC3=1
BUILD: [00:0000000000:PROG  ] Environment: BSP_USDHC4=1
BUILD: [00:0000000000:PROG  ] Environment: BUILD_DEFAULT=-nmake -nologo
BUILD: [00:0000000000:PROG  ] Environment: BUILD_MULTIPROCESSOR=0
BUILD: [00:0000000000:PROG  ] Environment: CEBASE=1
BUILD: [00:0000000000:PROG  ] Environment: CommonProgramFiles=C:\Program Files (x86)\Common Files
BUILD: [00:0000000000:PROG  ] Environment: CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files
BUILD: [00:0000000000:PROG  ] Environment: CommonProgramW6432=C:\Program Files\Common Files
BUILD: [00:0000000000:PROG  ] Environment: COMPUTERNAME=LT-MDL01
BUILD: [00:0000000000:PROG  ] Environment: ComSpec=C:\WINDOWS\system32\cmd.exe
